id,date,longitude,latitude
3MOR2,2017-02-22,-5.57172783,9.39784615
3MOR3,2017-02-22,-5.57211322,9.39875373
3MOR4,2017-02-22,-5.571723575,9.399128795
3NAA1,2017-02-18,-5.608609995,9.32787476
3NAA2,2017-02-18,-5.6092885425,9.3263945675
3NAA3,2017-02-18,-5.6106387325,9.3279380175
3NAA4,2017-02-18,-5.61136152,9.326845455
3NAK1,2017-02-28,-5.748389234,9.059742788
3NAK2,2017-02-28,-5.748215311,9.060272663
3NAK3,2017-02-28,-5.747999344,9.060559069
3NAK4,2017-02-28,-5.748355465,9.060641134
3NAL1,2017-02-26,-5.48616072,9.03241573
3NAL2,2017-02-26,-5.486364125,9.0311342
3NAL3,2017-02-26,-5.48741637,9.0318401
3NAL4,2017-02-26,-5.48665165,9.0332598
3NOK1,2017-02-20,-5.613833195,9.251797745
3NOK2,2017-02-20,-5.61394577,9.25119234
3NOK3,2017-02-20,-5.61440608,9.2516231
3NOK4,2017-02-20,-5.61424813,9.25259691
3NON1,2017-02-26,-5.56671373,9.39302712
3NON2,2017-02-26,-5.56580487,9.393045575
3NON3,2017-02-26,-5.565347145,9.39201164
3NON4,2017-02-26,-5.566826035,9.39194306
3NOT1,2017-02-22,-5.618425995,9.257507885
3NOT2,2017-02-22,-5.61850067,9.258066519
3NOT3,2017-02-22,-5.617148276,9.258640667
3NOT4,2017-02-22,-5.617655918,9.256244921
3NOU1,2017-03-04,-5.778425008,9.168051922
3NOU2,2017-03-04,-5.779228565,9.167392602
3NOU3,2017-03-04,-5.779148992,9.167072104
3NOU4,2017-03-04,-5.779912312,9.167013259
3NOW1,2017-02-24,-5.51658768,9.48668305583333
3NOW2,2017-02-24,-5.51643081416667,9.48597677833333
3NOW3,2017-02-24,-5.51669394333333,9.4845879
3NOW4,2017-02-24,-5.51705221583333,9.4846936625
3PEN1,2017-02-18,-5.515923565,9.253196125
3PEN2,2017-02-18,-5.51566367,9.25415147
3PEN3,2017-02-18,-5.51438529,9.25333756
3PEN4,2017-02-18,-5.5134492,9.2535266
3PES1,2017-02-24,-5.4880111,9.50673637
3PES2,2017-02-24,-5.4882594,9.50493673
3PES3,2017-02-24,-5.48804316,9.504150385
3PES4,2017-02-24,-5.48699795,9.50523704
3TAG1,2017-03-02,-5.687781118,9.159901502
3TAG2,2017-03-02,-5.687130629,9.16026292
3TAG3,2017-03-02,-5.687874654,9.160922255
3TAG4,2017-03-02,-5.688478035,9.161241348
3TAH1,2017-03-02,-5.49940405,9.3946112
3TAH2,2017-03-02,-5.49879167,9.39400742
3TAH3,2017-03-02,-5.49858952,9.39417534
3TAH4,2017-03-02,-5.49901803,9.39444836
3TAK1,2017-02-20,-5.60630756583333,9.32532524416667
3TAK2,2017-02-20,-5.60615170083333,9.32336700583333
3TAK3,2017-02-20,-5.60568310166667,9.32751549333333
3TAK4,2017-02-20,-5.60309804083333,9.3270752475
3YAY1,2017-02-26,-5.49994047357143,8.98882538357143
3YAY2,2017-02-26,-5.5000123,8.98908580285714
3YAY3,2017-02-26,-5.499346175,8.98907493571429
3YAY4,2017-02-26,-5.49960569357143,8.98968785214286
3YEN1,2017-02-18,-5.58955404,9.35303673
3YEN2,2017-02-18,-5.58839313,9.352947485
3YEN3,2017-02-18,-5.58717897,9.3514184
3YEN4,2017-02-18,-5.586840945,9.35346206
4BAP1,2017-04-29,-5.66851878,9.236653865
4BAP2,2017-04-29,-5.66777825,9.236219505
4BAP3,2017-04-29,-5.668469765,9.23779319
4BAP4,2017-04-29,-5.66877448,9.237268255
4FEL1,2017-04-25,-5.47167755,9.45042707
4FEL2,2017-04-25,-5.472017395,9.44998284
4FEL3,2017-04-25,-5.47012187,9.448937595
4FEL4,2017-04-25,-5.47026774,9.449964645
4FLA1,2017-04-13,-5.61058209,9.29441112
4FLA2,2017-04-13,-5.6097653,9.29623009
4FLA3,2017-04-13,-5.610003065,9.297115495
4FLA4,2017-04-13,-5.61102556,9.295962555
4GUE1,2017-04-13,-5.549451505,9.27167277
4GUE2,2017-04-13,-5.548807375,9.271242025
4GUE3,2017-04-13,-5.548394765,9.271932185
4GUE4,2017-04-13,-5.549288585,9.27247068
4KAG1,2017-04-11,-5.53525025,9.281804975
4KAG2,2017-04-11,-5.53628441,9.281443315
4KAG3,2017-04-11,-5.53583039,9.282584665
4KAG4,2017-04-11,-5.53478304,9.282716685
4KAR1,2017-04-15,-5.71083582,8.991586855
4KAR2,2017-04-15,-5.709857575,8.991547025
4KAR3,2017-04-15,-5.71058447,8.99110617
4KAR4,2017-04-15,-5.711495575,8.991813645
4KAT1,2017-04-29,-5.73818276,9.2341026
4KAT2,2017-04-29,-5.739511625,9.234063385
4KAT3,2017-04-29,-5.739601885,9.234129655
4KAT4,2017-04-29,-5.737891415,9.2347976
4KOG1,2017-04-27,-5.76104346,9.256651905
4KOG2,2017-04-27,-5.76113783,9.25535757
4KOG3,2017-04-27,-5.760114975,9.25545292
4KOG4,2017-04-27,-5.75930299,9.25474002
4KOL1,2017-04-11,-5.523485185,9.28824894
4KOL2,2017-04-11,-5.523585885,9.28743274
4KOL3,2017-04-11,-5.52552605,9.28846907
4KOL4,2017-04-11,-5.523949145,9.28939704
4KON1,2017-04-25,-5.514449,9.44053775
4KON2,2017-04-25,-5.513975675,9.44028839
4KON3,2017-04-25,-5.5130278,9.44083816
4KON4,2017-04-25,-5.51351889,9.44074509
4LAG1,2017-04-11,-5.56791947,9.29688742
4LAG2,2017-04-11,-5.56719182,9.29832576
4LAG3,2017-04-11,-5.566644925,9.299301315
4LAG4,2017-04-11,-5.56822912,9.2978465
